Store Name,Address,Contact,Latitude,Longitude,Store URL,formatted_address,street_number,route,locality,admin_area_3,admin_area_2,admin_area_1,country,country_code,postal_code,latitude,longitude,Shop ID
Boccea,"Via G. Frontali, 14, 00166 Roma , RM","06/61523811, ",41.9123993,12.3896999,https://www.pampanorama.it/punti-vendita/boccea,"Via Gino Frontali, 9, 00166 Roma RM, Italy",9,Via Gino Frontali,,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,166.0,41.9119804,12.3893461,
Santa Marinella,"Via Etruria 70, 00058 Santa Marinella , RM","0766536700, ",42.039594,11.832954,https://www.pampanorama.it/punti-vendita/pam-santa-marinella,"Via dell' Etruria, 70/1, 00058 Santa Marinella RM, Italy",70/1,Via dell' Etruria,Santa Marinella,Santa Marinella,Città metropolitana di Roma Capitale,Lazio,Italy,IT,58.0,42.0395663,11.8329024,67e2d439c1670104499c18bc
Altopascio,"Via Romana, 55011 Altopascio , LU","0583/276053, ",43.8282013,10.6477003,https://www.pampanorama.it/punti-vendita/altopascio,"Via Romana, 102, 55015 Turchetto LU, Italy",102,Via Romana,Turchetto,Montecarlo,Provincia di Lucca,Toscana,Italy,IT,55015.0,43.828346,10.6476469,67e2d43ac1670104499c18c1
Grosio,"Via Roma, 41 – 23033 Grosio (S0), Grosio , SO",", ",46.298654,10.274893,https://www.pampanorama.it/punti-vendita/pam-grosio,"Via Roma, 41, 23033 Grosio SO, Italy",41,Via Roma,Grosio,Grosio,Provincia di Sondrio,Lombardia,Italy,IT,23033.0,46.2985659,10.2748975,67e2d43ac1670104499c18c6
Genova Voltri,"Via Don Giovanni Verità, 6/R, 16158 Genova , GE","010/6121304, ",44.428299,8.7527504,https://www.pampanorama.it/punti-vendita/genova-voltri,"Via Don Giovanni Verità, 45, 16158 Genova GE, Italy",45,Via Don Giovanni Verità,Genova,Genova,Città Metropolitana di Genova,Liguria,Italy,IT,16158.0,44.4282748,8.752757599999999,67e2d43ac1670104499c18cb
Roma Giulio Agricola,"Viale Giulio Agricola 20, 00174 Roma , RM","06/96678489, ",41.8562631,12.5595542,https://www.pampanorama.it/punti-vendita/roma-giulio-agricola,"Via Marco Valerio Corvo, 116, 00174 Roma RM, Italy",116,Via Marco Valerio Corvo,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,174.0,41.8565704,12.5597977,67e2d43ac1670104499c18d0
Roma Anicio Gallo,"Viale Anicio Gallo, 96, 00174 Roma , RM","06/45751869, ",41.853199,12.5628996,https://www.pampanorama.it/punti-vendita/roma-anicio-gallo,"Viale Anicio Gallo, 96-98, 00174 Roma RM, Italy",96-98,Viale Anicio Gallo,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,174.0,41.8532027,12.5628832,67e2d43ac1670104499c18d5
Roma Lemonia,"Via Lemonia, 183, 00174 Roma , RM","067108214, ",41.852791,12.559048,https://www.pampanorama.it/punti-vendita/pam-roma-lemonia,"Via Lemonia, 183, 00174 Roma RM, Italy",183,Via Lemonia,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,174.0,41.8527711,12.5590839,67e2d43ac1670104499c18da
Alessandria Corso Roma,"Corso Roma, 74, 15121 Alessandria , AL",", ",44.91159,8.61277,https://www.pampanorama.it/punti-vendita/alessandria-corso-roma,"Corso Roma, 74, 15121 Alessandria AL, Italy",74,Corso Roma,Alessandria,Alessandria,Provincia di Alessandria,Piemonte,Italy,IT,15121.0,44.9115903,8.6128172,67e2d43ac1670104499c18df
Alessandria,"Corso Romita, 15121 Alessandria , AL","0131/281611, ",44.907299,8.61168,https://www.pampanorama.it/punti-vendita/panorama-alessandria,"Via Savona, 38, 15121 Alessandria AL, Italy",38,Via Savona,Alessandria,Alessandria,Provincia di Alessandria,Piemonte,Italy,IT,15121.0,44.90742729999999,8.6117796,67e2d43ac1670104499c18e4
