Store Name,Address,Contact,Latitude,Longitude,Store URL
Atripalda San Lorenzo,"Via San Lorenzo, 36, 83042 Atripalda , AV","0825 1728016, ",40.9201964,14.8248815,https://www.pampanorama.it/punti-vendita/atripalda-san-lorenzo
Avellino Due Principati,"Via Due Principati, 32, 83100 Avellino , AV","0825 769123, ",40.91306,14.79231,https://www.pampanorama.it/punti-vendita/avellino-san-tommaso-retail-pro
Contrada Nazionale,"Via Nazionale, 27, 83020 Contrada , AV","0825 674492, ",40.87047,14.77744,https://www.pampanorama.it/punti-vendita/contrada-via-nazionale-retail-pro
Ariano Irpino Fontananuova,"Via Fontananuova, SNC, 83031 Ariano Irpino , AV","0825872203, ",41.1552,15.09833,https://www.pampanorama.it/punti-vendita/ariano-irpino-fontananuova-retail-pro
Ariano Irpino Cda Cardito,"Via Cardito, SNC, 83031 Ariano Irpino , AV","0825892222, ",41.13713,15.08192,https://www.pampanorama.it/punti-vendita/ariano-irpino-cda-cardito-retail-pro
Ariano Irpino Martiri,"Via dei Martiri, SNC, 83031 Ariano Irpino , AV","0825824521, ",41.16162,15.11185,https://www.pampanorama.it/punti-vendita/ariano-irpino-via-martiri-retail-pro
Avellino Cda Scrofeta,"Contrada Scrofeta, SNC, 83100 Avellino , AV","0825 39565, ",40.93344,14.80068,https://www.pampanorama.it/punti-vendita/avellino-cda-scrofeta-retail-pro
Grottaminarda Cda Piani,"Contrada Piani, SNC, 83035 Grottaminarda , AV","0825445375, ",41.06710,15.07930,https://www.pampanorama.it/punti-vendita/grottaminarda-cda-piani-retail-pro
Mirabella San Michele,"Via S.Michele C/C. Il Carro, SNC, 83036 Mirabella Eclano , AV","0825 449849, ",41.0534,15.0223,https://www.pampanorama.it/punti-vendita/mirabella-via-san-michele-retail-pro
Mirabella Calore,"Via Nazionale Calore, SNC, 83036 Mirabella Eclano , AV","0285-431015, ",41.05343,14.95453,https://www.pampanorama.it/punti-vendita/mirabella-via-calore-retail-pro
Pietradefusi Industrie,"Via Delle Industrie Zona Pip, SNC, 83030 Pietradefusi , AV","0825 962604, ",41.04017,14.89898,https://www.pampanorama.it/punti-vendita/pietradefusi-v-industrie-retail-pro
Lioni Serro di Morra,"Via Serro di Morra, 6, Avellino , AV",", ",40.87874,15.19116,https://www.pampanorama.it/punti-vendita/lioni-serro-di-morra
Bentivoglio,"Via Marconi 48, 40010 Bentivoglio , BO","0516643224, ",44.63572,11.418095,https://www.pampanorama.it/punti-vendita/pam-bentivoglio
Bologna Bellaria,"Via Bellaria, 47, 40139 Bologna , BO","051/544759, ",44.47600170,11.38700010,https://www.pampanorama.it/punti-vendita/bologna-bellaria
San Giorgio Del Sannio,"Via Falcone E Borsellino, SNC, 82018 San Giorgio Del Sannio , BN",", ",41.0678,14.85626,https://www.pampanorama.it/punti-vendita/san-giorgio-del-sannio-retail-pro
Taurasi Maffei,"Via Maffei, SNC, 83030 Taurasi , AV",", ",41.00909,14.95492,https://www.pampanorama.it/punti-vendita/taurasi-via-maffei-retail-pro
Lignano Sabbiadoro,"V.le Europa, 33/34, 33054 Lignano Sabbiadoro , UD","0431/722151, ",45.68099980,13.11499980,https://www.pampanorama.it/punti-vendita/lignano-sabbiadoro
